Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,344.619995,349.670013,339.549988,339.829987,333.100281,31031100
2021-11-23,337.049988,339.450012,333.559998,337.679993,330.992889,30427600
2021-11-24,336.279999,338.160004,333.910004,337.910004,331.218323,21661300
2021-11-26,334.350006,337.929993,328.119995,329.679993,323.151276,24217200
2021-11-29,334.940002,339.029999,334.739990,336.630005,329.963684,28563500
2021-11-30,335.320007,337.779999,328.989990,330.589996,324.043274,42885600
2021-12-01,335.130005,339.279999,329.390015,330.079987,323.543335,33337600
2021-12-02,330.299988,333.489990,327.799988,329.489990,322.965057,30766000
2021-12-03,331.989990,332.700012,318.029999,323.010010,316.613373,41779300
2021-12-06,323.950012,327.450012,319.230011,326.190002,319.730408,30032600
2021-12-07,331.640015,335.799988,330.100006,334.920013,328.287476,31021900
2021-12-08,335.309998,335.500000,330.799988,334.970001,328.336548,24761000
2021-12-09,334.410004,336.489990,332.119995,333.100006,326.503571,22214200
2021-12-10,334.980011,343.000000,334.790009,342.540009,335.756592,38095700
2021-12-13,340.679993,343.790009,339.079987,339.399994,332.678772,28899400
2021-12-14,333.220001,334.640015,324.109985,328.339996,321.837799,44438700
2021-12-15,328.609985,335.190002,324.500000,334.649994,328.022888,35381100
2021-12-16,335.709991,336.760010,323.019989,324.899994,318.465912,35034800
2021-12-17,320.880005,324.920013,317.250000,323.799988,317.387695,47750300
2021-12-20,320.049988,322.799988,317.570007,319.910004,313.574768,28326500
2021-12-21,323.290009,327.730011,319.799988,327.290009,320.808655,24740600
2021-12-22,328.299988,333.609985,325.750000,333.200012,326.601563,24831500
2021-12-23,332.750000,336.390015,332.730011,334.690002,328.062073,19617800
2021-12-27,335.459991,342.480011,335.429993,342.450012,335.668396,19947000
2021-12-28,343.149994,343.809998,340.320007,341.250000,334.492157,15661500
2021-12-29,341.299988,344.299988,339.679993,341.950012,335.178314,15042000
2021-12-30,341.910004,343.130005,338.820007,339.320007,332.600403,15994500
2021-12-31,338.510010,339.359985,335.850006,336.320007,329.659790,18000800
2022-01-03,335.350006,338.000000,329.779999,334.750000,328.120911,28865100
2022-01-04,334.829987,335.200012,326.119995,329.010010,322.494568,32674300
2022-01-05,325.859985,326.070007,315.980011,316.380005,310.114624,40054300
2022-01-06,313.149994,318.700012,311.489990,313.880005,307.664154,39646100
2022-01-07,314.149994,316.500000,310.089996,314.040009,307.821014,32720000
2022-01-10,309.489990,314.720001,304.690002,314.269989,308.046478,44289500
2022-01-11,313.380005,316.609985,309.890015,314.980011,308.742401,29386800
2022-01-12,319.670013,323.410004,317.079987,318.269989,311.967255,34372200
2022-01-13,320.470001,320.880005,304.000000,304.799988,298.763977,45366000
2022-01-14,304.250000,310.820007,303.750000,310.200012,304.057068,39846400
2022-01-18,304.070007,309.799988,301.739990,302.649994,296.656525,42333200
2022-01-19,306.290009,313.910004,302.700012,303.329987,297.323059,45933900
2022-01-20,309.070007,311.649994,301.140015,301.600006,295.627350,35380700
2022-01-21,302.690002,304.109985,295.609985,296.029999,290.167694,57984400
2022-01-24,292.200012,297.109985,276.049988,296.369995,290.500916,85731500
2022-01-25,291.519989,294.989990,285.170013,288.489990,282.776947,72848600
2022-01-26,307.989990,308.500000,293.029999,296.709991,290.834137,90428900
2022-01-27,302.660004,307.299988,297.929993,299.839996,293.902191,53481300
2022-01-28,300.230011,308.480011,294.450012,308.260010,302.155487,49743700
2022-01-31,308.950012,312.380005,306.369995,310.980011,304.821594,46444500
2022-02-01,310.410004,310.630005,305.130005,308.760010,302.645630,40950400
2022-02-02,309.630005,315.119995,308.880005,313.459991,307.252441,36636000
2022-02-03,309.489990,311.230011,299.959991,301.250000,295.284302,43730000
2022-02-04,300.209991,308.799988,299.970001,305.940002,299.881470,35096500
2022-02-07,306.170013,307.839996,299.899994,300.950012,294.990234,28533300
2022-02-08,301.250000,305.559998,299.950012,304.559998,298.528717,32421200
2022-02-09,309.869995,311.929993,307.390015,311.209991,305.047058,31284700
2022-02-10,304.040009,309.119995,300.700012,302.380005,296.391907,45386200
2022-02-11,303.190002,304.290009,294.220001,295.040009,289.197296,39175600
2022-02-14,293.769989,296.760010,291.350006,295.000000,289.158051,36359500
2022-02-15,300.010010,300.799988,297.019989,300.470001,294.519714,27058300
2022-02-16,298.369995,300.869995,293.679993,299.500000,294.175964,29982100
2022-02-17,296.359985,296.799988,290.000000,290.730011,285.561890,32461600
2022-02-18,293.049988,293.859985,286.309998,287.929993,282.811584,34264000
2022-02-22,285.000000,291.540009,284.500000,287.720001,282.605347,41736100
2022-02-23,290.179993,291.700012,280.100006,280.269989,275.287781,37811200
2022-02-24,272.510010,295.160004,271.519989,294.589996,289.353210,56989700
2022-02-25,295.140015,297.630005,291.649994,297.309998,292.024933,32546700
2022-02-28,294.309998,299.140015,293.000000,298.790009,293.478638,34627500
2022-03-01,296.399994,299.970001,292.149994,294.950012,289.706848,31217800
2022-03-02,295.359985,301.470001,293.700012,300.190002,294.853699,31873000
2022-03-03,302.890015,303.130005,294.049988,295.920013,290.659637,27314500
2022-03-04,294.290009,295.660004,287.170013,289.859985,284.707306,32356500
2022-03-07,288.529999,289.690002,278.529999,278.910004,273.951996,43157200
2022-03-08,277.799988,283.959991,270.000000,275.850006,270.946411,48159500
2022-03-09,283.440002,289.600006,280.779999,288.500000,283.371490,35204500
2022-03-10,283.019989,286.600006,280.579987,285.589996,280.513275,30628000
2022-03-11,287.959991,289.510010,279.429993,280.070007,275.091339,27209300
2022-03-14,280.339996,285.399994,275.820007,276.440002,271.525879,30660700
2022-03-15,280.350006,287.820007,278.730011,287.149994,282.045502,34245100
2022-03-16,289.109985,294.570007,283.200012,294.390015,289.156799,37826300
2022-03-17,293.290009,295.609985,289.369995,295.220001,289.972015,30816600
2022-03-18,295.369995,301.000000,292.730011,300.429993,295.089417,43390600
2022-03-21,298.890015,300.140015,294.899994,299.160004,293.841980,28351200
2022-03-22,299.799988,305.000000,298.769989,304.059998,298.654907,27599700
2022-03-23,300.510010,303.230011,297.720001,299.489990,294.166168,25715400
2022-03-24,299.140015,304.200012,298.320007,304.100006,298.694183,24484500
2022-03-25,305.230011,305.500000,299.290009,303.679993,298.281616,22566500
2022-03-28,304.329987,310.799988,304.329987,310.700012,305.176849,29578200
2022-03-29,313.910004,315.820007,309.049988,315.410004,309.803101,30393400
2022-03-30,313.760010,315.950012,311.579987,313.859985,308.280731,28163600
2022-03-31,313.899994,315.140015,307.890015,308.309998,302.829407,33422100
2022-04-01,309.369995,310.130005,305.540009,309.420013,303.919678,27110500
2022-04-04,310.089996,315.109985,309.709991,314.970001,309.370972,24289600
2022-04-05,313.269989,314.869995,309.869995,310.880005,305.353668,23156700
2022-04-06,305.190002,307.000000,296.709991,299.500000,294.175964,40110400
